법정동,지번,단지명,건축년도,거래연도,거래월,거래일,지역코드,층,전용면적,거래금액,구별
무악동,82,현대,2000,2014,1,22,11110,10,114.9,"63,935",종로구
사직동,9,광화문스페이스본(101동~105동),2008,2014,1,21,11110,2,151.81,"90,000",종로구
인의동,48-2,효성쥬얼리시티,2006,2014,1,23,11110,7,84.98,"47,000",종로구
무악동,82,현대,2000,2014,1,29,11110,10,114.9,"57,800",종로구
사직동,9,광화문스페이스본(101동~105동),2008,2014,1,29,11110,8,94.51,"73,000",종로구
사직동,9-1,광화문스페이스본(106동),2008,2014,1,17,11110,10,153.42,"135,000",종로구
내수동,72,경희궁의아침3단지,2004,2014,1,23,11110,7,150.48,"114,000",종로구
무악동,60,인왕산아이파크,2008,2014,1,28,11110,16,84.858,"59,800",종로구
신영동,254,대아파크빌,1998,2014,1,28,11110,14,59.22,"25,000",종로구
명륜2가,4,아남1,1995,2014,1,21,11110,18,84.9,"55,000",종로구
사직동,9-1,광화문스페이스본(106동),2008,2014,2,27,11110,1,163.33,"110,000",종로구
신문로1가,238,신문로맨션,1981,2014,2,28,11110,8,98.31,"49,500",종로구
창신동,232,두산,1999,2014,2,17,11110,1,59.95,"28,000",종로구
창신동,703,창신쌍용2,1993,2014,2,10,11110,3,64.66,"24,500",종로구
명륜1가,23,건양하늘터,2006,2014,2,11,11110,1,84.78,"43,500",종로구
창신동,232,두산,1999,2014,2,24,11110,4,59.95,"35,400",종로구
창신동,703,창신쌍용2,1993,2014,2,19,11110,9,54.7,"25,400",종로구
무악동,60,인왕산아이파크,2008,2014,2,28,11110,5,114.931,"72,000",종로구
명륜2가,4,아남1,1995,2014,2,22,11110,7,84.9,"55,000",종로구
창신동,703,창신쌍용2,1993,2014,2,21,11110,6,79.87,"30,000",종로구
창신동,702,창신쌍용1,1992,2014,3,25,11110,9,79.87,"32,400",종로구
창신동,232,두산,1999,2014,3,14,11110,9,59.95,"36,350",종로구
창신동,602,일우,2002,2014,3,28,11110,2,59.3,"23,500",종로구
숭인동,766,종로청계힐스테이트,2009,2014,3,29,11110,12,59.9426,"38,500",종로구
숭인동,473,하림빌라트,1998,2014,3,14,11110,5,30.41,"15,000",종로구
내수동,73,경희궁의아침4단지,2004,2014,3,28,11110,11,150.77,"109,000",종로구
무악동,82,현대,2000,2014,3,30,11110,3,84.92,"46,950",종로구
사직동,9,광화문스페이스본(101동~105동),2008,2014,3,18,11110,3,94.28,"72,000",종로구
창신동,703,창신쌍용2,1993,2014,3,28,11110,12,54.7,"24,450",종로구
사직동,9,광화문스페이스본(101동~105동),2008,2014,3,13,11110,5,94.28,"71,000",종로구
사직동,9-1,광화문스페이스본(106동),2008,2014,4,23,11110,1,153.42,"99,000",종로구
창신동,703,창신쌍용2,1993,2014,4,23,11110,3,79.87,"29,500",종로구
무악동,60,인왕산아이파크,2008,2014,4,18,11110,13,84.858,"59,800",종로구
사직동,9,광화문스페이스본(101동~105동),2008,2014,4,21,11110,7,94.51,"69,500",종로구
당주동,145,롯데미도파광화문빌딩,1981,2014,4,18,11110,7,65.82,"29,800",종로구
무악동,82,현대,2000,2014,4,26,11110,15,84.92,"52,950",종로구
무악동,82,현대,2000,2014,4,11,11110,21,84.92,"52,850",종로구
창신동,703,창신쌍용2,1993,2014,4,14,11110,13,54.7,"23,400",종로구
숭인동,2-1,종로센트레빌,2008,2014,4,24,11110,7,84.92,"48,000",종로구
창신동,232,두산,1999,2014,4,8,11110,10,59.95,"35,500",종로구
숭인동,2-1,종로센트레빌,2008,2014,5,24,11110,4,59.92,"36,000",종로구
무악동,82,현대,2000,2014,5,13,11110,10,84.92,"54,490",종로구
평창동,596,삼성,1998,2014,5,2,11110,4,59.97,"28,400",종로구
평창동,72,롯데낙천대,2001,2014,5,29,11110,4,87.27,"42,500",종로구
무악동,82,현대,2000,2014,5,28,11110,5,84.92,"44,950",종로구
숭인동,2-1,종로센트레빌,2008,2014,5,26,11110,9,59.92,"39,200",종로구
명륜1가,23,건양하늘터,2006,2014,5,19,11110,1,84.89,"44,200",종로구
무악동,60,인왕산아이파크,2008,2014,5,30,11110,10,84.858,"62,500",종로구
숭인동,482,동문(482-0),2002,2014,5,12,11110,3,59.64,"30,100",종로구
익선동,55,현대뜨레비앙,2003,2014,5,31,11110,6,43.98,"20,000",종로구
무악동,60,인왕산아이파크,2008,2014,6,28,11110,1,84.858,"54,000",종로구
무악동,82,현대,2000,2014,6,17,11110,1,114.9,"49,990",종로구
숭인동,2-1,종로센트레빌,2008,2014,6,4,11110,3,59.92,"36,300",종로구
숭인동,766,종로청계힐스테이트,2009,2014,6,27,11110,11,84.9478,"51,450",종로구
창신동,232,두산,1999,2014,6,2,11110,5,59.95,"36,000",종로구
사직동,9,광화문스페이스본(101동~105동),2008,2014,6,14,11110,7,126.34,"96,000",종로구
숭인동,181-121,도시그린빌라,1997,2014,6,7,11110,3,57.45,"21,500",종로구
명륜1가,2-12,송림아마레스아파트,2003,2014,6,25,11110,4,84.62,"44,000",종로구
무악동,82,현대,2000,2014,6,24,11110,15,84.92,"52,450",종로구
무악동,60,인왕산아이파크,2008,2014,6,28,11110,1,84.858,"52,500",종로구
창신동,232,두산,1999,2014,7,23,11110,5,84.9,"48,000",종로구
숭인동,1421-2,숭인한양LEEPS,2014,2014,7,31,11110,8,12.78,"11,900",종로구
부암동,218-1,부암스카이뷰,2004,2014,7,28,11110,5,81.08,"34,300",종로구
창신동,702,창신쌍용1,1992,2014,7,31,11110,4,79.87,"35,500",종로구
무악동,82,현대,2000,2014,7,19,11110,13,60.0,"38,400",종로구
평창동,72,롯데낙천대,2001,2014,7,22,11110,14,133.34,"79,500",종로구
무악동,60,인왕산아이파크,2008,2014,7,9,11110,3,84.858,"57,500",종로구
내수동,72,경희궁의아침3단지,2004,2014,7,21,11110,13,149.0,"119,000",종로구
무악동,82,현대,2000,2014,7,5,11110,3,114.9,"53,970",종로구
무악동,60,인왕산아이파크,2008,2014,7,3,11110,9,84.858,"59,000",종로구
부암동,218-1,부암스카이뷰,2004,2014,8,23,11110,4,81.0,"34,300",종로구
내수동,95,경희궁파크팰리스,2003,2014,8,29,11110,13,103.77,"89,500",종로구
무악동,82,현대,2000,2014,8,30,11110,12,84.92,"47,900",종로구
창신동,601-8,MID그린(7동),2002,2014,8,25,11110,1,59.04,"23,700",종로구
무악동,82,현대,2000,2014,8,30,11110,14,84.92,"58,000",종로구
